"CBCD","area_CB","popdens_CB","povrate_CB","unemp_CB","busdens_CB","subdens_CB","intdens_CB","nonres_CB","resid_CB","landind_CB","ptrans_CB","pwalk_CB","propoa_CB","propnonw_CB","offpcap_CB"
101,46030910.12881,9338.08758667899,NA,NA,42.5841888715994,31.2755484213284,122.583490908661,0.831876648286045,0.168123351713955,0.559431561289683,NA,NA,NA,NA,0.0717413818946856
102,35549198.1952,28780.9078030186,0.107776845685147,0.0513794768788736,36.4831657801335,23.6650278070417,132.898161900362,0.571216190937657,0.428783809067155,0.979713016596066,0.553229041568912,0.273200220049353,0.117234501126764,0.218973740921552,0.0402990954558949
103,45237466.246242,38524.774645098,0.279671657407084,0.10653309719858,41.2379055744456,6.12459602056585,111.898952443987,0.454709666,0.545290334129826,0.991795142537635,0.534465801664626,0.289384965193342,0.130186258238181,0.607373172307474,0.0257069408137719
104,51867554.342082,18677.4421274037,NA,NA,27.0929550157119,12.8312336065593,64.3942157958291,0.651645683504255,0.348354316504529,0.908014346708766,NA,NA,NA,NA,0.0622535282695647
105,43410116.704689,10880.8915868446,0.107944635286741,0.0755701531058229,71.8898855288444,47.9486049275671,80.0935355552894,0.92343718104009,0.0765628190314304,0.282803815093563,0.463671743168093,0.384130956356582,0.11091769153881,0.225034982666319,0.207642237160549
106,39097050.361972,37646.9493084648,0.0818988178594353,0.0434898541165852,50.850325004237,8.42431185500661,91.0748452899375,0.58801920168954,0.411980798313791,0.96901048053809,0.499463330447277,0.345619292527483,0.145042431973741,0.195292810084946,0.0324432984789972
107,57337477.77772,38607.4343749685,0.109647505316742,0.0531201889914803,42.5463597422209,9.71016352303579,68.805467454201,0.270832347160662,0.72916765295301,0.789928747360036,0.687196039346799,0.118874892814749,0.13236211982215,0.261710664836133,0.0176278772949039
108,55179489.966206,41953.7961208088,0.0653505881374884,0.0380753458727036,32.6047867962342,7.32448278620821,77.2948863885727,0.318192943772631,0.681807056253787,0.86778477718533,0.621760343438076,0.183650518020866,0.140096609525413,0.130812398068415,0.0200598934763723
109,33976739.496692,35324.7623711542,0.30635705266989,0.178326559505992,54.9844261645196,10.1437161368455,87.93117181262,0.312248344532631,0.687751655543981,0.858997263361978,0.657686072441255,0.162466321682727,0.0964415029981563,0.726221719235648,0.0229830453655053
110,38426474.114891,29842.1789416237,0.366942323694212,0.187673799670443,50.9159305248778,9.17869298484965,86.514261948499,0.332482967878204,0.667517032177875,0.887752175721267,0.711849097577841,0.0978356595628283,0.115186172169009,0.942623917885543,0.0271156754376072
111,66216950.099359,19017.060895327,0.367842207002126,0.17614743479733,26.0122706974624,2.63478353865943,74.2315894878766,0.459421397820657,0.540578602346256,0.993413508126498,0.677757239301475,0.157626326624082,0.116632877031752,0.750965977547946,0.0226010153419886
112,82529643.598974,27425.7619948928,NA,NA,30.4051478586423,7.73200733575968,62.6183584358742,0.325766352177641,0.674233647910275,0.878570543743513,NA,NA,NA,NA,0.0157721534284921
201,65507675.308597,13918.9672146398,NA,NA,22.0875525256203,6.47091346612538,74.1598040442173,0.51848235390987,0.481517646271614,0.998633610402635,NA,NA,NA,NA,0.029784491
202,53093289.171694,9947.60598452327,NA,NA,20.9125268401977,4.38821417607543,61.8683585392277,0.529205231025087,0.470794768974913,0.996588217923085,NA,NA,NA,NA,0.038030856
203,44229649.66049,16505.2451735243,0.45642740616164,0.22433583771941,34.4479894793043,1.88635258221333,74.8780556808397,0.421422384025935,0.578577616003741,0.975302233052675,NA,NA,0.0673770030204483,0.855583416945866,0.0274041600001321
204,58603335.797822,25344.5968014361,NA,NA,28.708941583682,6.70672404823382,90.8173853966106,NA,NA,NA,NA,NA,NA,NA,0.026689554
205,40137025.330415,35215.6817364034,0.414632941282746,0.202922914411671,35.1783980647504,7.88836432656488,113.494917179913,0.277984434088705,0.722015565966391,0.802836353874492,0.659874774023556,0.0715913922451191,0.0513849094132669,0.834383918861365,0.022525116
206,40343730.763909,19593.3470737301,0.459015743873649,0.207000039039018,31.4612227973911,2.17376244048079,96.8085362558259,0.382741371178704,0.617258629054604,0.945001655648939,0.567777270083522,0.130221348767252,0.0768810901338608,0.709138266069203,0.0303271361610646
207,57751066.880579,26709.4929288574,0.326306020966542,NA,33.8688220455684,5.97585939014998,76.7323596417182,0.260642386904668,0.739357613328459,0.770831731766816,NA,NA,0.0798213776427659,0.713587115474105,0.025792854
208,83056176.89531,12061.7413383272,NA,NA,15.2591074452735,1.17773648986717,64.3869749038172,0.255673685497655,0.744326314502345,0.761218608166804,NA,NA,NA,NA,0.017284562
209,115135319.207955,15765.5143833869,NA,NA,21.1417896464082,1.01459120976131,68.8600561714848,0.23859030936318,0.761409690648071,0.72665989454112,NA,NA,NA,NA,0.021240957
210,174894854.89192,7342.36163588375,0.104878561807585,0.0675459474879977,17.6935932831849,0.533471421495886,64.6221919280553,0.24968316978489,0.750316830305054,0.749365937864122,0.39330166865546,0.0595259758497005,0.177903310250881,0.395238196853865,0.0173713353183515
211,104019625.060832,12260.2533227221,0.176020455920358,0.0866608414174918,19.0629256965877,1.39605000520308,75.0236009344907,0.261749366548448,0.738250633569998,0.772946542413979,0.451664022926472,0.0726576044274003,0.153938672818617,0.496258466928347,0.0223053051664544
212,126577070.12246,12317.7291973733,NA,NA,17.5368413279701,1.54054197776923,71.0592819870794,0.260372716658489,0.739627283461323,0.770315060083787,NA,NA,NA,NA,0.0206448801540371
301,131708593.044047,12986.547915355,0.345800665113121,0.11243447354325,25.6701971595372,4.61963721451686,85.4982010306876,0.510572499966206,0.489427500158033,0.999552888988366,0.549570348407113,0.187637863512217,0.0977269420154526,0.388087664150918,0.0191407178851913
302,73546377.926535,14096.1236501967,NA,NA,33.866394273498,12.5693318624683,100.363140287815,0.463506434360875,0.536493565742307,0.994672878637648,NA,NA,NA,NA,0.0363791922017984
303,78458663.169805,19434.8413510247,0.352046344874282,0.18277280945163,39.1141596382947,4.74644420777632,59.9526234389896,0.310795176260155,0.689204823824301,0.856806138566461,0.656474645761941,0.0694272251443078,0.0913582277609625,0.945146392100766,0.0305106412532352
304,56668705.97139,20242.9032372451,NA,NA,30.9123428297719,5.88565983804959,74.3080278384811,0.355845613007353,0.64415438714382,0.916878050668759,NA,NA,NA,NA,0.024463865
305,176277644.60453,10573.3190775066,NA,NA,19.1127732681842,2.45591371863794,75.3878063643795,0.346626264336668,0.653373735724047,0.905905988760201,NA,NA,NA,NA,NA
306,87435070.39565,13063.7174793073,0.156449510649813,0.0670965868158648,17.2665720919746,4.69051298188576,78.303431931154,0.392006413121219,0.607993586878781,0.95334954077222,0.674004464129146,0.0988422605698095,0.086288931349839,0.351172153240635,0.0232192493195164
307,106256419.701599,11832.4014356752,NA,NA,14.851191845414,3.14097760845838,52.4457803950216,0.38031707701336,0.619682923077046,0.942703991694936,NA,NA,NA,NA,0.015888098
308,43280930.58345,21674.2811191765,0.276294022768699,0.152387081358137,38.6974139948854,1.72568303311701,60.07796415318,0.350025754143799,0.649974246070089,0.910030902062833,0.703816126888754,0.0625575217490477,0.0939802316780261,0.909267080614637,0.028443874452712
309,45360513.62515,24576.0719501264,NA,NA,29.3514407418457,5.41199766140004,60.6520076918131,0.244120580855317,0.755879419250737,0.738102891215621,NA,NA,NA,NA,0.0304108975628041
310,109225023.645902,11912.1785110329,NA,NA,26.0417622366198,1.37662265145376,59.7006735315681,0.223049879678479,0.776950120420414,0.693194523196472,NA,NA,NA,NA,0.014589612
311,97067241.670404,19172.5862562139,0.196764145135682,0.0716604917148365,22.1869447085607,4.31403799291916,68.977370648301,0.215888967439632,0.784111032623388,0.677123684566689,0.554612795778862,0.0700825789147115,0.170876656331859,0.30759679388086,0.0149847818472823
312,103324351.77028,20467.1313929272,0.285327193419012,0.0753526104912599,21.4155496940308,4.25985054034891,63.9713120203324,0.308010854308217,0.69198914582586,0.852560671540226,0.448305576996213,0.171787128236281,0.127985284804776,0.307381453098721,0.0128507153689499
313,97021128.562973,12350.1233161028,0.286353899858362,0.114611692855326,21.2975855407115,2.69100472126265,74.8903915766042,0.32199888347648,0.67800111660399,0.87326240995093,0.550173854730644,0.0973373123537862,0.210044643462994,0.363916289134573,0.0216008179906282
314,81064346.142675,23316.5328362658,0.233847059709298,0.111985395672463,24.1628102314327,2.89535880189759,69.8538539685651,0.23400206964856,0.765997930534815,0.716980403804783,0.607226367578322,0.0634876592503224,0.102180529614231,0.628323432369338,0.0265271434773996
315,125603145.52317,13286.8276071689,0.172097003152927,0.0682822364932203,22.1732398725237,1.35791483079434,83.2389756273119,0.240231108629154,0.759768891417411,0.730080492207077,0.480102231939939,0.0705633747766727,0.178875344495371,0.212773680414398,0.022735344
316,50259021.07992,18639.3590883779,0.425232118825991,0.242122602128247,37.9372615927084,5.20887848468211,95.7346739260395,0.348507588562158,0.651492411580699,0.908200196933857,0.65448722578808,0.0839391158441287,0.0746389403961207,0.953592214934211,0.030442391
317,92787135.29471,19245.7555730068,NA,NA,27.8546660600193,1.5076695257741,81.4228840257853,0.271109998213378,0.728890001893504,0.790437468132767,NA,NA,NA,NA,0.0238238708986719
318,253576221.49433,8365.16653485286,NA,NA,15.9921540433268,0.129976041690625,57.4888195118043,0.225235954793499,0.774764045287671,0.698018877668619,NA,NA,NA,NA,0.0226130109953282
401,168351139.066746,13386.3623070066,NA,NA,0.971479244106889,2.47254787118569,56.8839514245284,NA,NA,NA,NA,NA,NA,NA,0.016933949
402,149040661.002845,7930.40959091488,NA,NA,6.32722583064013,4.47406200990748,69.0031713555426,0.472080801179965,0.527919198882735,0.996882073334985,NA,NA,NA,NA,0.024062914
403,81045877.29307,23774.5314762364,0.193722555719325,0.0991452738960643,5.70024873315843,1.47917238484286,87.3172220258235,0.279630123964312,0.720369876176137,0.805748470696455,0.590241216383816,0.0696175778466861,0.102680479628141,0.577045092433767,0.0192606601610817
404,61937552.89791,27155.498001194,0.191092221078452,0.0951699141467812,13.7653939868193,4.71965203434957,108.648195380657,0.301181929841002,0.698818070257268,0.841885499756705,0.62381791999594,0.0747297142243889,0.086447778596609,0.676470575297725,0.0158258930364476
405,204237847.765304,8797.88153156528,NA,NA,14.5246452614554,0.756050492424901,74.0572435343576,0.289255184696347,0.710744815381305,0.822346491159599,NA,NA,NA,NA,0.018283384
406,79964240.35607,15281.0973852757,0.111656368175763,0.0527526326772706,4.31660192538965,2.93289772976012,99.995104157594,0.20222261207183,0.797777388025618,0.645314508722562,0.584845280824419,0.0547988577242593,0.184956207992776,0.306334822397426,0.018003562
407,322959365.92426,8205.93564943194,NA,NA,15.7125811376306,0.331821817658751,69.7722471047561,NA,NA,NA,NA,NA,NA,NA,0.016660511
408,209309401.07086,7609.16758287433,NA,NA,12.1112585587309,0.893101967332222,72.2028938294,0.244714511286636,0.755285488713364,0.739317277009516,NA,NA,NA,NA,NA
409,108359358.53325,14282.9878830685,0.147347240532874,0.0826266375590517,13.5962026418816,2.66157839054793,95.6574551270892,0.27357699223937,0.726423007902859,0.794930485968887,0.507207903716993,0.0494091224579502,0.0917974838713809,0.569153367157139,0.0222356552442175
410,179186047.46483,7644.95795232149,0.114680418251563,0.0708786339346757,0.127979980419473,1.64528080546981,69.3857713914023,0.230804764424772,0.769195235583416,0.710135700556756,0.399192631456477,0.0329045202441916,0.116137224811397,0.574200688454657,0.0223453547065509
411,254257113.73376,4886.05575740735,NA,NA,14.1976731598098,0,76.3875248879678,NA,NA,NA,NA,NA,NA,NA,0.0138883114927026
412,260106182.87189,9156.24914767586,NA,NA,17.6653818077278,1.12024906045811,95.1718387501301,0.270251905198529,0.729748094921489,0.788863251519786,NA,NA,NA,NA,0.0280832149766266
413,347539635.48018,6012.73574605357,0.0736886101777954,0.0722025100941283,13.7370852694614,0,85.8879675797309,0.224429878786997,0.775570121235892,0.696244433128143,0.33408967340399,0.0225912385080174,0.12078560911644,0.774568371757982,0.015189288
414,168930229.30764,6517.75304052979,0.231493652094422,0.133455337566976,0,2.33933502059606,80.4531963299792,0.211416171179822,0.788583829123541,0.666877494273581,0.399534767124235,0.0703443095933481,0.138471871434705,0.583530088520634,0.0184391348576127
501,370379416.378051,4722.72640940712,NA,NA,21.4819773363353,0.109278386771367,70.92542990554,0.309629958064378,0.690370041961186,0.855036988494784,NA,NA,NA,NA,NA
502,606886180.97622,2267.64544349486,0.0920545111123177,NA,9.64339483266892,0.247991012259514,42.2724475530868,0.309259198151662,0.690740802027801,0.854471785767165,NA,NA,0.134820809391097,0.163040696052015,NA
503,612018639.39605,2667.05183980136,0.0490900678132952,0.0418875725575289,8.68897318464776,0.48666289009605,50.4609000700009,0.167887927130391,0.832112072869609,0.558806284217006,0.239658181471005,0.0131132713201843,0.103441684562935,0.0668567644518647,0.00932791505783498
